optimalnumber,probabilityrange,date,department,capacity,probability,day,month
419,0.85734187931234729,18/12/2015,1,200,0.49,5,12
219,0.69007376657928954,19/12/2015,1,100,0.47,6,12
294,0.75709330055004964,19/12/2015,1,135,0.47,6,12
327,0.79718983247790309,19/12/2015,1,150,0.47,6,12
437,0.84953422671004408,19/12/2015,1,200,0.47,6,12
205,0.70403985245544964,21/12/2015,1,100,0.5,1,12
277,0.77057553537061163,21/12/2015,1,135,0.5,1,12
308,0.81007471324425562,21/12/2015,1,150,0.5,1,12
411,0.86116616311449112,21/12/2015,1,200,0.5,1,12
214,0.69482467011973614,22/12/2015,1,100,0.48,2,12
288,0.76159738698802204,22/12/2015,1,135,0.48,2,12
320,0.80143253315270013,22/12/2015,1,150,0.48,2,12
428,0.8533736228424269,22/12/2015,1,200,0.48,2,12
214,0.69482467011973614,23/12/2015,1,100,0.48,3,12
288,0.76159738698802204,23/12/2015,1,135,0.48,3,12
320,0.80143253315270013,23/12/2015,1,150,0.48,3,12
428,0.8533736228424269,23/12/2015,1,200,0.48,3,12
228,0.6811183201156934,26/12/2015,1,100,0.45,6,12
307,0.74830605843924802,26/12/2015,1,135,0.45,6,12
342,0.78871339530508977,26/12/2015,1,150,0.45,6,12
456,0.84193165809647341,26/12/2015,1,200,0.45,6,12
214,0.69482467011973614,28/12/2015,1,100,0.48,1,12
288,0.76159738698802204,28/12/2015,1,135,0.48,1,12
320,0.80143253315270013,28/12/2015,1,150,0.48,1,12
428,0.8533736228424269,28/12/2015,1,200,0.48,1,12
214,0.69482467011973614,29/12/2015,1,100,0.48,2,12
288,0.76159738698802204,29/12/2015,1,135,0.48,2,12
320,0.80143253315270013,29/12/2015,1,150,0.48,2,12
428,0.8533736228424269,29/12/2015,1,200,0.48,2,12
214,0.69482467011973614,30/12/2015,1,100,0.48,3,12
288,0.76159738698802204,30/12/2015,1,135,0.48,3,12
320,0.80143253315270013,30/12/2015,1,150,0.48,3,12
428,0.8533736228424269,30/12/2015,1,200,0.48,3,12
210,0.69943452957890839,31/12/2015,1,100,0.49,4,12
282,0.76613982535829828,31/12/2015,1,135,0.49,4,12
314,0.80581165798194854,31/12/2015,1,150,0.49,4,12
419,0.85734187931234729,31/12/2015,1,200,0.49,4,12
198,0.71398839016707139,01/01/2016,1,100,0.52,5,1
266,0.7802488245630409,01/01/2016,1,135,0.52,5,1
296,0.81915949395011689,01/01/2016,1,150,0.52,5,1
395,0.86921529415382359,01/01/2016,1,200,0.52,5,1
210,0.69943452957890839,02/01/2016,1,100,0.49,6,1
282,0.76613982535829828,02/01/2016,1,135,0.49,6,1
314,0.80581165798194854,02/01/2016,1,150,0.49,6,1
419,0.85734187931234729,02/01/2016,1,200,0.49,6,1
198,0.71398839016707139,04/01/2016,1,100,0.52,1,1
266,0.7802488245630409,04/01/2016,1,135,0.52,1,1
296,0.81915949395011689,04/01/2016,1,150,0.52,1,1
395,0.86921529415382359,04/01/2016,1,200,0.52,1,1
210,0.69943452957890839,05/01/2016,1,100,0.49,2,1
282,0.76613982535829828,05/01/2016,1,135,0.49,2,1
314,0.80581165798194854,05/01/2016,1,150,0.49,2,1
419,0.85734187931234729,05/01/2016,1,200,0.49,2,1
201,0.70895064484739445,06/01/2016,1,100,0.51,3,1
271,0.77548357987127059,06/01/2016,1,135,0.51,3,1
301,0.8145509460676279,06/01/2016,1,150,0.51,3,1
402,0.86515094574975249,06/01/2016,1,200,0.51,3,1
210,0.69943452957890839,07/01/2016,1,100,0.49,4,1
282,0.76613982535829828,07/01/2016,1,135,0.49,4,1
314,0.80581165798194854,07/01/2016,1,150,0.49,4,1
419,0.85734187931234729,07/01/2016,1,200,0.49,4,1
194,0.71926557025752835,08/01/2016,1,100,0.53,5,1
261,0.78509561745723611,08/01/2016,1,135,0.53,5,1
290,0.82381500752340875,08/01/2016,1,150,0.53,5,1
387,0.87324363715454378,08/01/2016,1,200,0.53,5,1
201,0.70895064484739445,09/01/2016,1,100,0.51,6,1
271,0.77548357987127059,09/01/2016,1,135,0.51,6,1
301,0.8145509460676279,09/01/2016,1,150,0.51,6,1
402,0.86515094574975249,09/01/2016,1,200,0.51,6,1
198,0.71398839016707139,11/01/2016,1,100,0.52,1,1
266,0.7802488245630409,11/01/2016,1,135,0.52,1,1
