optimalnumber,probabilityrange,date,department,capacity,probability,day,month
301,0.75255377325840422,20/02/2016,1,135,0.46,6,2
334,0.79292728395700163,20/02/2016,1,150,0.46,6,2
446,0.84572444880116182,20/02/2016,1,200,0.46,6,2
234,0.67668849947613019,22/02/2016,1,100,0.44,1,2
314,0.74402700904137431,22/02/2016,1,135,0.44,1,2
349,0.78454936766841965,22/02/2016,1,150,0.44,1,2
466,0.83809362278537591,22/02/2016,1,200,0.44,1,2
223,0.68554071622061696,23/02/2016,1,100,0.46,2,2
301,0.75255377325840422,23/02/2016,1,135,0.46,2,2
334,0.79292728395700163,23/02/2016,1,150,0.46,2,2
446,0.84572444880116182,23/02/2016,1,200,0.46,2,2
234,0.67668849947613019,24/02/2016,1,100,0.44,3,2
314,0.74402700904137431,24/02/2016,1,135,0.44,3,2
349,0.78454936766841965,24/02/2016,1,150,0.44,3,2
466,0.83809362278537591,24/02/2016,1,200,0.44,3,2
228,0.6811183201156934,25/02/2016,1,100,0.45,4,2
307,0.74830605843924802,25/02/2016,1,135,0.45,4,2
342,0.78871339530508977,25/02/2016,1,150,0.45,4,2
456,0.84193165809647341,25/02/2016,1,200,0.45,4,2
223,0.68554071622061696,26/02/2016,1,100,0.46,5,2
301,0.75255377325840422,26/02/2016,1,135,0.46,5,2
334,0.79292728395700163,26/02/2016,1,150,0.46,5,2
446,0.84572444880116182,26/02/2016,1,200,0.46,5,2
245,0.66827534175116876,27/02/2016,1,100,0.42,6,2
329,0.73566091113263155,27/02/2016,1,135,0.42,6,2
366,0.77654319455925525,27/02/2016,1,150,0.42,6,2
489,0.83070219178189653,27/02/2016,1,200,0.42,6,2
219,0.69007376657928954,29/02/2016,1,100,0.47,1,2
294,0.75709330055004964,29/02/2016,1,135,0.47,1,2
327,0.79718983247790309,29/02/2016,1,150,0.47,1,2
437,0.84953422671004408,29/02/2016,1,200,0.47,1,2
251,0.66412761311133017,01/03/2016,1,100,0.41,2,3
337,0.73156222289101847,01/03/2016,1,135,0.41,2,3
375,0.77257501842092302,01/03/2016,1,150,0.41,2,3
501,0.82702384962330333,01/03/2016,1,200,0.41,2,3
264,0.65600733559733915,02/03/2016,1,100,0.39,3,3
355,0.72348000893189257,02/03/2016,1,135,0.39,3,3
394,0.7647666271641288,02/03/2016,1,150,0.39,3,3
526,0.81984075550824864,02/03/2016,1,200,0.39,3,3
270,0.65209820190088119,03/03/2016,1,100,0.38,4,3
364,0.71965888851313364,03/03/2016,1,135,0.38,4,3
405,0.76091875271355613,03/03/2016,1,150,0.38,4,3
540,0.81629941005183748,03/03/2016,1,200,0.38,4,3
239,0.67256412542825095,04/03/2016,1,100,0.43,5,3
322,0.73970791132923408,04/03/2016,1,135,0.43,5,3
358,0.78047354481432707,04/03/2016,1,150,0.43,5,3
477,0.83440414800631224,04/03/2016,1,200,0.43,5,3
257,0.66013703188490458,05/03/2016,1,100,0.4,6,3
346,0.72749627882342371,05/03/2016,1,135,0.4,6,3
384,0.76859753859151581,05/03/2016,1,150,0.4,6,3
513,0.82344631316495787,05/03/2016,1,200,0.4,6,3
257,0.66013703188490458,07/03/2016,1,100,0.4,1,3
346,0.72749627882342371,07/03/2016,1,135,0.4,1,3
